Country,Code,Year,Growth,Health,Education,Capital,Trade,Income,CPI
Austria,AUT,1960,NA,NA,NA,NA,46.50975849,High income,NA
Belgium,BEL,1960,NA,NA,NA,NA,76.30136587,High income,NA
Bulgaria,BGR,1960,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1960,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1960,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1960,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1960,NA,NA,NA,NA,66.63227343,High income,NA
Estonia,EST,1960,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1960,NA,NA,NA,NA,43.3504665,High income,NA
France,FRA,1960,NA,NA,NA,NA,26.96545495,High income,NA
Germany,DEU,1960,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1960,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1960,NA,NA,NA,NA,24.67103115,High income,NA
Italy,ITA,1960,NA,NA,NA,NA,25.36059314,High income,NA
Latvia,LVA,1960,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1960,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1960,NA,NA,NA,NA,157.7481358,High income,NA
Netherlands,NLD,1960,NA,NA,NA,NA,95.88750397,High income,NA
Poland,POL,1960,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1960,NA,NA,NA,NA,33.47752362,High income,NA
Romania,ROU,1960,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1960,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1960,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1960,NA,NA,NA,NA,15.26805265,High income,NA
Sweden,SWE,1960,NA,NA,NA,NA,46.44109154,High income,NA
United Kingdom,GBR,1960,NA,NA,NA,NA,41.80065061,High income,NA
Austria,AUT,1961,NA,NA,NA,NA,44.90723707,High income,NA
Belgium,BEL,1961,NA,NA,NA,NA,78.81847213,High income,NA
Bulgaria,BGR,1961,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1961,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1961,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1961,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1961,NA,NA,NA,NA,62.3393037,High income,NA
Estonia,EST,1961,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1961,NA,NA,NA,NA,41.39129521,High income,NA
France,FRA,1961,NA,NA,NA,NA,26.25799643,High income,NA
Germany,DEU,1961,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1961,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1961,NA,NA,NA,NA,24.51897022,High income,NA
Italy,ITA,1961,NA,NA,NA,NA,25.65545084,High income,NA
